,Start,End
80,2022-01-11 12:56:28.112988,2022-01-11 12:56:31.266120
81,2022-01-11 12:56:31.521176,2022-01-11 12:56:34.772486
82,2022-01-11 12:56:38.754125,2022-01-11 12:56:41.602193
83,2022-01-11 12:56:41.793864,2022-01-11 12:56:42.691855
84,2022-01-11 12:56:44.740419,2022-01-11 12:56:45.048690
85,2022-01-11 12:56:47.362014,2022-01-11 12:56:48.419799
86,2022-01-11 12:56:51.202206,2022-01-11 12:56:51.873136
87,2022-01-11 12:56:54.290953,2022-01-11 12:56:55.250489
88,2022-01-11 12:56:57.506124,2022-01-11 12:56:58.688879
89,2022-01-11 12:56:58.865875,2022-01-11 12:57:02.144981
90,2022-01-11 12:57:02.322667,2022-01-11 12:57:05.555830
91,2022-01-11 12:57:05.731087,2022-01-11 12:57:08.978188
92,2022-01-11 12:57:11.986172,2022-01-11 12:57:12.384941
93,2022-01-11 12:57:13.056935,2022-01-11 12:57:13.556019
94,2022-01-11 12:57:13.587250,2022-01-11 12:57:15.795099
95,2022-01-11 12:57:16.065154,2022-01-11 12:57:19.185974
96,2022-01-11 12:57:28.657744,2022-01-11 12:57:36.352368
97,2022-01-11 12:57:36.512879,2022-01-11 12:57:39.794105
98,2022-01-11 12:57:39.842620,2022-01-11 12:57:46.610358
99,2022-01-11 12:57:46.737786,2022-01-11 12:57:47.426035
100,2022-01-11 12:57:47.522005,2022-01-11 12:57:50.035846
101,2022-01-11 12:57:51.457705,2022-01-11 12:57:51.954194
102,2022-01-11 12:57:55.746446,2022-01-11 12:57:56.834074
103,2022-01-11 12:57:57.666868,2022-01-11 12:58:00.337768
104,2022-01-11 12:58:01.442043,2022-01-11 12:58:02.096779
105,2022-01-11 12:58:04.593909,2022-01-11 12:58:07.232703
106,2022-01-11 12:58:07.570186,2022-01-11 12:58:08.961251
107,2022-01-11 12:58:09.362629,2022-01-11 12:58:09.522465
108,2022-01-11 12:58:09.651944,2022-01-11 12:58:10.657076
109,2022-01-11 12:58:11.970190,2022-01-11 12:58:12.467152
